"V1","V5","V6","V7","V8"
2.115,673,673.8423,156523.9,523.0217
2.116,673,673.8478,156545.9,523.0777
2.117,673,673.8531,156567.7,523.1332
2.118,673,673.8584,156589.2,523.188
2.119,673,673.8637,156610.6,523.2425
2.12,673,673.869,156631.9,523.2968
2.121,673,673.8742,156653.2,523.351
2.122,673,673.8795,156674.4,523.405
2.123,673,673.8847,156695.5,523.4586
2.124,673,673.8898,156716.5,523.5118
2.125,673,673.8949,156737.2,523.5645
2.126,673,673.9,156757.7,523.6167
2.127,673,673.905,156778.1,523.6686
2.128,673,673.91,156798.4,523.7202
2.129,673,673.915,156818.7,523.7718
2.13,673,673.92,156839,523.8231
2.131,673,673.925,156859.1,523.8742
2.132,673,673.9299,156879.1,523.925
2.133,673,673.9348,156898.9,523.9752
2.134,673,673.9396,156918.5,524.0251
2.135,673,673.9444,156938.1,524.0747
2.136,673,673.9492,156957.5,524.1241
2.137,673,673.954,156977,524.1733
2.138,673,673.9588,156996.3,524.2224
2.139,673,673.9635,157015.6,524.2713
2.14,673,673.9682,157034.8,524.3198
2.141,673,673.9729,157053.8,524.368
2.142,673,673.9775,157072.7,524.4159
2.143,673,673.9822,157091.5,524.4634
2.144,673,673.9868,157110.2,524.5109
2.145,673,673.9914,157128.9,524.5582
2.146,673,673.996,157147.6,524.6053
2.147,673,674.0005,157166.1,524.6523
2.148,673,674.0051,157184.6,524.6989
2.149,673,674.0096,157202.9,524.7453
2.15,673,674.0141,157221.2,524.7915
2.151,673,674.0185,157239.4,524.8374
2.152,673,674.023,157257.5,524.8831
2.153,673,674.0274,157275.5,524.9288
2.154,673,674.0318,157293.5,524.9742
2.155,673,674.0363,157311.5,525.0196
2.156,673,674.0406,157329.4,525.0647
2.157,673,674.045,157347.2,525.1096
2.158,673,674.0494,157364.9,525.1543
2.159,673,674.0537,157382.5,525.1987
2.16,673,674.058,157400.1,525.2431
2.161,673,674.0623,157417.6,525.2873
2.162,673,674.0666,157435.1,525.3314
2.163,673,674.0709,157452.6,525.3754
2.164,673,674.0752,157469.9,525.4192
2.165,673,674.0794,157487.3,525.4628
2.166,673,674.0836,157504.5,525.5063
2.167,673,674.0879,157521.7,525.5496
2.168,673,674.0921,157538.8,525.5927
2.169,673,674.0963,157555.9,525.6358
2.17,673,674.1005,157573,525.6788
2.171,673,674.1046,157590,525.7216
2.172,673,674.1088,157607,525.7644
2.173,673,674.1129,157624,525.8069
2.174,673,674.1171,157640.9,525.8494
2.175,673,674.1212,157657.7,525.8917
2.176,673,674.1253,157674.5,525.9339
2.177,673,674.1294,157691.2,525.9761
2.178,673,674.1335,157708,526.0181
2.179,673,674.1376,157724.7,526.0601
2.18,673,674.1417,157741.3,526.1019
2.181,673,674.1458,157757.9,526.1436
2.182,673,674.1498,157774.5,526.1852
2.183,673,674.1539,157791,526.2267
2.184,673,674.1579,157807.5,526.2681
2.185,673,674.162,157824,526.3094
2.186,673,674.166,157840.4,526.3506
2.187,673,674.17,157856.8,526.3918
2.188,673,674.174,157873.2,526.4329
2.189,673,674.178,157889.6,526.4739
2.19,673,674.182,157905.9,526.5148
2.191,673,674.186,157922.2,526.5556
2.192,673,674.19,157938.5,526.5964
2.193,673,674.194,157954.7,526.6371
2.194,673,674.198,157971,526.6778
2.195,673,674.2019,157987.2,526.7185
2.196,673,674.2059,158003.4,526.7591
2.197,673,674.2099,158019.6,526.7996
2.198,673,674.2138,158035.8,526.8401
2.199,673,674.2178,158052,526.8806
2.2,673,674.2217,158068.1,526.921
2.201,673,674.2257,158084.3,526.9613
2.202,673,674.2296,158100.4,527.0017
2.203,673,674.2336,158116.5,527.042
2.204,673,674.2375,158132.6,527.0823
2.205,673,674.2414,158148.7,527.1225
2.206,673,674.2454,158164.8,527.1628
2.207,673,674.2493,158180.9,527.2029
2.208,673,674.2532,158197,527.2431
2.209,673,674.2572,158213.1,527.2833
2.21,673,674.2611,158229.2,527.3234
2.211,673,674.265,158245.2,527.3635
2.212,673,674.2689,158261.3,527.4037
2.213,673,674.2729,158277.4,527.4438
2.214,673,674.2768,158293.5,527.4839
2.215,673,674.2807,158309.6,527.524
2.216,673,674.2847,158325.6,527.5641
2.217,673,674.2886,158341.7,527.6042
2.218,673,674.2925,158357.8,527.6443
2.219,673,674.2964,158373.9,527.6844
2.22,673,674.3004,158390,527.7246
2.221,673,674.3043,158406.1,527.7647
2.222,673,674.3082,158422.2,527.8049
2.223,673,674.3122,158438.4,527.845
2.224,673,674.3161,158454.5,527.8852
2.225,673,674.3201,158470.6,527.9254
2.226,673,674.324,158486.8,527.9656
2.227,673,674.3279,158503,528.0059
2.228,673,674.3319,158519.2,528.0461
2.229,673,674.3358,158535.4,528.0864
2.23,673,674.3398,158551.6,528.1267
